Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
D3YXK2,D3YXK2,SAFB1_MOUSE,Safb,Scaffold attachment factor B1,39052.5,36322.4,34216.6,34688.8,36133.7,44585.9,41320.9,41521.4
D3YXK2;Q80YR5,D3YXK2;Q80YR5,SAFB1_MOUSE;SAFB2_MOUSE,Safb;Safb2,Scaffold attachment factor B1,195494,181706,181760,182664,241871,161506,200552,182200
D3YZP9,D3YZP9,CCDC6_MOUSE,Ccdc6,Coiled-coil domain-containing protein 6,73158,73259.2,69466.8,70520.9,70800.6,61174.5,71513.7,71976.1
D3Z4S3,D3Z4S3,PTRD1_MOUSE,Ptrhd1,Putative peptidyl-tRNA hydrolase PTRHD1,13971.2,11821.6,12524.5,12086.5,10536.5,13689.9,14719.4,11142.6
D3Z5L6,D3Z5L6,S18B1_MOUSE,Slc18b1,MFS-type transporter SLC18B1,5014.85,5872.55,6029.1,7633.38,7243.84,4185.98,5028.95,8139.72
D3Z6P0,D3Z6P0,PDIA2_MOUSE,Pdia2,Protein disulfide-isomerase A2,,15943.1,10491.2,18625.3,,,8538.2,16674.9
D3Z6Q9,D3Z6Q9,BIN2_MOUSE,Bin2,Bridging integrator 2,16316.9,10075.2,9443.74,11921.3,14427.8,11095,12913.2,11661.5
D3Z6Q9;O08539,O08539;Q7TQF7;D3Z6Q9,BIN1_MOUSE;BIN2_MOUSE,Bin1;Bin2,Bridging integrator 2,28378.6,26699.8,28658.6,13271.8,47341.4,41536,50189.7,19277.1
D3Z7P3,D3Z7P3,GLSK_MOUSE,Gls,"Glutaminase kidney isoform, mitochondrial",,92801.6,95337.8,72435,84326.7,119825,109511,110518
E5FYH1,E5FYH1,TOPZ1_MOUSE,Topaz1,Protein TOPAZ1,,126277,128117,139060,126808,126338,149143,134153
E9PV24,E9PV24,FIBA_MOUSE,Fga,Fibrinogen alpha chain,185767,254657,255532,236678,251194,301939,260199,305642
E9PVA8,E9PVA8,GCN1_MOUSE,Gcn1,Stalled ribosome sensor GCN1,41369.3,40789.8,38681.4,43004,37363.9,40503.6,37129.9,37866.8
E9PVB5,E9PVB5,TTC17_MOUSE,Ttc17,Tetratricopeptide repeat protein 17,7152.91,28451.7,20382.3,20000.4,28204.7,19712.4,20508.4,23649.9
E9PW74,E9PW74,GIMD1_MOUSE,Gimd1,GTPase IMAP family member GIMD1,14480.2,11318,13535,13970.6,8523.42,12734.7,8278.04,12803.2
E9PXX9;O88627,E9PXX9;O88627,S28A1_MOUSE;S28A2_MOUSE,Slc28a1;Slc28a2,Sodium/nucleoside cotransporter 1,,9289.28,16558.8,15741.8,13351.9,,11259,
E9PYK3,E9PYK3,PARP4_MOUSE,Parp4,Protein mono-ADP-ribosyltransferase PARP4,47296.3,47409.2,51471.5,48186.7,53267.9,48679.4,65007,53116.4
E9PYL2,E9PYL2,PRR12_MOUSE,Prr12,Proline-rich protein 12,,19094.8,21373.4,16138.5,22816.1,,24504.1,25636.5
E9PZJ8,E9PZJ8,ASCC3_MOUSE,Ascc3,Activating signal cointegrator 1 complex subunit 3,27373.5,35378.6,22927.1,21832.7,33284.6,22372.7,28758,29021.2
E9PZM4,E9PZM4,CHD2_MOUSE,Chd2,Chromodomain-helicase-DNA-binding protein 2,,30888.5,32171.9,,29877.8,14688.2,20008.3,31386.1
E9Q0S6,E9Q0S6,TENS1_MOUSE,Tns1,Tensin-1,75955.5,86787.2,85614.8,87180.5,70136.7,79556.7,90300.3,90704.2
E9Q137,E9Q137,TX264_MOUSE,Tex264,Testis-expressed protein 264 homolog,184543,247535,267738,203912,269942,270894,236364,244402
E9Q173,E9Q173,BTBDG_MOUSE,Btbd16,BTB/POZ domain-containing protein 16,,,1278.84,,,2277.8,,2386.88
E9Q1P8,E9Q1P8,I2BP2_MOUSE,Irf2bp2,Interferon regulatory factor 2-binding protein 2,156743,115125,147878,164323,202573,150942,182201,152223
E9Q1P8;Q8K3X4,Q8K3X4;E9Q1P8,I2BP2_MOUSE;I2BPL_MOUSE,Irf2bp2;Irf2bpl,Interferon regulatory factor 2-binding protein 2,5906.32,10799.7,7433.45,8713.1,8240.57,5113.97,8738.86,7454.96
E9Q309,E9Q309,CE350_MOUSE,Cep350,Centrosome-associated protein 350,623411,1.63E+06,1.52E+06,1.35E+06,1.36E+06,1.57E+06,1.20E+06,1.48E+06
E9Q394,E9Q394,AKP13_MOUSE,Akap13,A-kinase anchor protein 13,25315.9,27228.1,24631.6,23204,24864.5,22573.3,24618.2,21633.8
E9Q3C1,E9Q3C1,C2CD2_MOUSE,C2cd2,C2 domain-containing protein 2,60543.8,52740,67488.1,64581.3,55621,48454.9,52543.4,65523.8
E9Q3L2,E9Q3L2,PI4KA_MOUSE,Pi4ka,Phosphatidylinositol 4-kinase alpha,24076.5,29539.1,22181.7,27607.8,28850.5,23262.9,21972.3,25758.4
E9Q414,E9Q414,APOB_MOUSE,Apob,Apolipoprotein B-100,823832,747984,783414,834630,805801,729617,845051,769265
E9Q4N7,E9Q4N7,ARI1B_MOUSE,Arid1b,AT-rich interactive domain-containing protein 1B,44976.2,45536.3,34548.7,45032.8,43842,42777.9,46887.9,39435.5
E9Q4P1,E9Q4P1,WDFY1_MOUSE,Wdfy1,WD repeat and FYVE domain-containing protein 1,60607.9,58728.1,69801.5,65034.9,69604.7,64699.1,63763.1,63731.3
E9Q4Z2,E9Q4Z2,ACACB_MOUSE,Acacb,Acetyl-CoA carboxylase 2,54114.6,51090.1,51550.9,54404,56175,52833.3,59584.1,53398
E9Q4Z2;Q5SWU9,E9Q4Z2;Q5SWU9,ACACA_MOUSE;ACACB_MOUSE,Acaca;Acacb,Acetyl-CoA carboxylase 2,61017.1,90142.4,87393.8,98746.4,88270.5,90787.4,86407.3,97413.7
E9Q555,E9Q555,RN213_MOUSE,Rnf213,E3 ubiquitin-protein ligase RNF213,12099.1,17461.1,15255.2,15876.2,16539.6,15977.6,13546.6,13351.7
E9Q557,E9Q557,DESP_MOUSE,Dsp,Desmoplakin,13631,18583.1,15117.2,12570.5,15626,16232,11907.8,15883.1
E9Q5C9,E9Q5C9,NOLC1_MOUSE,Nolc1,Nucleolar and coiled-body phosphoprotein 1,192605,217645,209609,219352,234674,201574,225282,222516
E9Q5F9,E9Q5F9,SETD2_MOUSE,Setd2,Histone-lysine N-methyltransferase SETD2,4048.99,9236.23,8741.87,11013.6,9335.39,7882.86,8152.86,6340.79
E9Q5K4,E9Q5K4,CP2CN_MOUSE,Cyp2c23,Cytochrome P450 2C44,1.45E+06,1.56E+06,1.83E+06,1.48E+06,1.67E+06,2.18E+06,2.02E+06,1.93E+06
E9Q5K4;Q6XVG2;Q91W64;Q91X77,E9Q5K4;Q6XVG2;Q91X77;Q91W64,CP254_MOUSE;CP270_MOUSE;CP2CN_MOUSE;CY250_MOUSE,Cyp2c23;Cyp2c50;Cyp2c54;Cyp2c70,Cytochrome P450 2C44,8.13E+06,7.37E+06,6.92E+06,7.34E+06,6.50E+06,5.11E+06,5.99E+06,6.26E+06
E9Q634,E9Q634,MYO1E_MOUSE,Myo1e,Unconventional myosin-Ie,42301.8,56403.7,45271,56672.2,46182.9,40057.3,48717.6,43758.2
E9Q6J5,E9Q6J5,BD1L1_MOUSE,Bod1l,Biorientation of chromosomes in cell division protein 1-like 1,22702.2,25980.1,25116.9,25674.3,24912.6,22401.1,22859.5,25132.2
E9Q6P5,E9Q6P5,TTC7B_MOUSE,Ttc7b,Tetratricopeptide repeat protein 7B,,,,5092.01,,3619.71,3488.69,2874.86
E9Q735,E9Q735,UBE4A_MOUSE,Ube4a,Ubiquitin conjugation factor E4 A,10097,19221.9,10979.4,9245,9723.69,11351.9,13262.2,10029.8
E9Q784,E9Q784,ZC3HD_MOUSE,Zc3h13,Zinc finger CCCH domain-containing protein 13,109991,139698,135715,122937,153751,134992,155166,110866
E9Q7D5,E9Q7D5,ARHG5_MOUSE,Arhgef5,Rho guanine nucleotide exchange factor 5,7420.62,8305.68,9913.21,9997.82,12035.6,10857.8,10265.5,9718.3
E9Q7F2,E9Q7F2,RN169_MOUSE,Rnf169,E3 ubiquitin-protein ligase RNF169,619.228,3110.27,1328.05,3597.37,,745.535,,1811.88
E9Q7G0,E9Q7G0,NUMA1_MOUSE,Numa1,Nuclear mitotic apparatus protein 1,64573.6,64155.9,64565,66718.3,67102.8,58324.3,64332,65519
E9Q7M2,E9Q7M2,T22D2_MOUSE,Tsc22d2,TSC22 domain family protein 2,13399.1,12270.4,15888.4,11258.9,12540.3,11853.5,12205,12642
E9Q816,E9Q816,CP2W1_MOUSE,Cyp2w1,Cytochrome P450 2W1,,59187.9,61111,,53674.2,64818.1,,
E9Q8D0,E9Q8D0,DJC21_MOUSE,Dnajc21,DnaJ homolog subfamily C member 21,5302.63,5300.38,2879.77,,5146.14,2296.16,4574.93,2651.98
E9Q8G5,E9Q8G5,ZFOI1_MOUSE,ObI1,Zinc finger protein OBI1,98699.9,52536.7,39822.2,105474,45437.3,5784.26,35289.2,42521.2
E9Q8T7,E9Q8T7,DYH1_MOUSE,Dnah1,Dynein axonemal heavy chain 1,31056.2,50306.7,51029.5,45415.6,35158.4,62153.9,51269.2,56114.3
E9Q912,E9Q912,GDS1_MOUSE,Rap1gds1,Rap1 GTPase-GDP dissociation stimulator 1,78766,74733.8,82389.8,91327.3,75736.6,70697.1,79308,76929
E9QAM5,E9QAM5,HELZ2_MOUSE,Helz2,Helicase with zinc finger domain 2,18931.3,26813.6,17823.5,23990.6,21086.5,19468,16648.5,23443.9
E9QAT4,E9QAT4,SC16A_MOUSE,Sec16a,Protein transport protein Sec16A,90984.4,96882.3,98609.5,102349,100943,116793,112839,100577
F6VAN0,F6VAN0,ATF6A_MOUSE,Atf6,Cyclic AMP-dependent transcription factor ATF-6 alpha,,4572.53,3104.99,,3291.68,1644.62,,
F6XLV1,F6XLV1,CRCC2_MOUSE,Crocc2,Ciliary rootlet coiled-coil protein 2,,15127.7,23005.1,21184.6,20279.4,,,17117.2
F6ZDS4,F6ZDS4,TPR_MOUSE,Tpr,Nucleoprotein TPR,119676,140784,137255,130996,123364,120715,128921,138816
F8VPK0,F8VPK0,SKI3_MOUSE,Skic3,Superkiller complex protein 3,8680.4,14260.2,13439.8,15439.1,9126.38,11333.2,13289.3,13671.9
F8VPQ2,F8VPQ2,ARI4A_MOUSE,Arid4a,AT-rich interactive domain-containing protein 4A,6247.52,11038.9,4800.25,5358.41,4995.41,5530.15,5063.29,6563.33
F8VPU2,F8VPU2,FARP1_MOUSE,Farp1,"FERM, ARHGEF and pleckstrin domain-containing protein 1",28191.1,52451.3,54906.1,45266.4,51076,35240.4,50577.4,50691.8
G3X8U3,G3X8U3,QNG1_MOUSE,QNG1,Queuosine 5'-phosphate N-glycosylase/hydrolase,16347.5,24409.7,26734.4,19252.4,29618.4,34444.2,26523.2,28005.2
G3X982,G3X982,AOXC_MOUSE,Aox3,Aldehyde oxidase 3,756994,939592,975398,911228,1.01E+06,997029,940666,982095
G3X982;O54754,G3X982;O54754,AOXA_MOUSE;AOXC_MOUSE,Aox1;Aox3,Aldehyde oxidase 3,,7669.6,4667.49,,6439.8,10736.2,7822.07,6324.93
G3X982;Q00519,G3X982;Q00519;Q3TYQ9,AOXC_MOUSE;XDH_MOUSE,Aox3;Xdh,Aldehyde oxidase 3,2.18E+06,2.14E+06,1.89E+06,1.97E+06,2.07E+06,1.58E+06,1.59E+06,1.67E+06
G3X987,G3X987,GIMA9_MOUSE,Gimap9,GTPase IMAP family member 9,9964.38,9464.02,9166.26,,,8246.83,13503.4,
G3X9K3,G3X9K3,BIG1_MOUSE,Arfgef1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,17363.6,15838.4,16475.3,18005.9,13758.3,16598.8,17338.2,17867.6
G3X9Z4,G3X9Z4,PCF11_MOUSE,Pcf11,Pre-mRNA cleavage complex 2 protein Pcf11,13610.6,19284.9,20225.6,18599.6,17478.7,19667.1,21607,20115.5
G5E829,G5E829,AT2B1_MOUSE,Atp2b1,Plasma membrane calcium-transporting ATPase 1,57139.8,65686.5,71123.9,63730.6,63468.1,56364.9,60798.4,69991.3
G5E829;Q6Q477,G5E829;Q6Q477,AT2B1_MOUSE;AT2B4_MOUSE,Atp2b1;Atp2b4,Plasma membrane calcium-transporting ATPase 1,22343.6,22995.1,22614.3,24829.3,22079,18982.9,21532.3,22750.4
G5E829;Q6Q477;Q9R0K7,G5E829;Q6Q477;Q9R0K7,AT2B1_MOUSE;AT2B2_MOUSE;AT2B4_MOUSE,Atp2b1;Atp2b2;Atp2b4,Plasma membrane calcium-transporting ATPase 1,64464.4,137946,122990,112050,98198.6,95835.4,95588.2,124960
G5E829;Q9R0K7,G5E829;Q9R0K7,AT2B1_MOUSE;AT2B2_MOUSE,Atp2b1;Atp2b2,Plasma membrane calcium-transporting ATPase 1,39142.8,37195.2,37363.2,46369.7,33521,41396.8,39295.4,38838.9
G5E870,G5E870,TRIPC_MOUSE,Trip12,E3 ubiquitin-protein ligase TRIP12,31454,28245,30486.7,33894.6,31133.3,26259.4,30744.4,27543.8
G5E897,G5E897,PLGT3_MOUSE,Poglut3,Protein O-glucosyltransferase 3,6145.61,4634.48,5957.46,6353.19,6240.23,5746.28,6868.89,5710.5
G5E8B9,G5E8B9,ZBT11_MOUSE,Zbtb11,Zinc finger and BTB domain-containing protein 11,,813.535,4008.53,,,,,2650.82
G5E8K5,G5E8K5,ANK3_MOUSE,Ank3,Ankyrin-3,115896,101410,128487,129254,119693,106228,120345,113900
G5E8K5;Q02357,G5E8K5;Q02357,ANK1_MOUSE;ANK3_MOUSE,Ank1;Ank3,Ankyrin-3,11993.1,,11332.8,9692.37,,,,
G5E8K5;Q02357;Q8C8R3,G5E8K5;Q02357;Q8C8R3,ANK1_MOUSE;ANK2_MOUSE;ANK3_MOUSE,Ank1;Ank2;Ank3,Ankyrin-3,,9327.45,11581.9,5167.64,19699.9,14062.2,14660.6,8035.27
G5E8K5;Q8C8R3,G5E8K5;Q8C8R3,ANK2_MOUSE;ANK3_MOUSE,Ank2;Ank3,Ankyrin-3,,12827.3,7611.37,,10816.2,25763.3,7588.67,12814.9
G5E8P0,G5E8P0,GCP6_MOUSE,Tubgcp6,Gamma-tubulin complex component 6,9837.06,,10457.8,7826.24,,4625.43,7882.15,5582.55
G5E8Q8,G5E8Q8,AGRF5_MOUSE,Adgrf5,Adhesion G protein-coupled receptor F5,18923.9,21546.2,28378.6,24072.7,16718.8,13746.7,19435.8,21550.8
G5E8V9,G5E8V9,ARFP1_MOUSE,Arfip1,Arfaptin-1,43877.3,54296.1,49143.5,52221.5,46014.5,55026,52145.1,52308.6
O08529,O08529,CAN2_MOUSE,Capn2,Calpain-2 catalytic subunit,99957.2,109484,111673,104919,109890,107324,106344,102808
O08532,O08532,CA2D1_MOUSE,Cacna2d1,Voltage-dependent calcium channel subunit alpha-2/delta-1,11357.8,13214,12093.6,9839.61,7269.84,9067.37,12986.4,12296.2
O08539,O08539,BIN1_MOUSE,Bin1,Myc box-dependent-interacting protein 1,102263,108475,100013,102105,97563.2,103871,113096,108656
O08547,O08547,SC22B_MOUSE,Sec22b,Vesicle-trafficking protein SEC22b,335047,336019,318504,333135,317486,280891,309664,322011
O08553,O08553,DPYL2_MOUSE,Dpysl2,Dihydropyrimidinase-related protein 2,993085,1.12E+06,1.14E+06,965381,1.22E+06,916541,1.14E+06,1.20E+06
O08553;P97427,O08553;P97427,DPYL1_MOUSE;DPYL2_MOUSE,Crmp1;Dpysl2,Dihydropyrimidinase-related protein 2,350171,357619,353870,374448,409661,320607,371882,385752
O08553;Q62188,O08553;Q62188,DPYL2_MOUSE;DPYL3_MOUSE,Dpysl2;Dpysl3,Dihydropyrimidinase-related protein 2,78715.5,109593,168315,89618.6,121345,191292,130787,132211
O08573,O08573,LEG9_MOUSE,Lgals9,Galectin-9,313055,380824,514589,445636,431685,587357,449492,477620
O08579,O08579,EMD_MOUSE,Emd,Emerin,48888.7,55870.4,59934.3,68633.5,61318.2,55513.7,61213,55542.8
O08582,O08582,GTPB1_MOUSE,Gtpbp1,GTP-binding protein 1,,19028.8,11266.2,17247.8,,,,8507.79
O08583,O08583;Q9JJW6,THOC4_MOUSE,Alyref,THO complex subunit 4,162007,148898,140957,142558,139346,124456,160172,118317
O08585,O08585,CLCA_MOUSE,Clta,Clathrin light chain A,1.02E+06,1.18E+06,1.23E+06,1.14E+06,1.16E+06,1.16E+06,1.12E+06,1.27E+06
O08586,O08586,PTEN_MOUSE,Pten,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",58578.8,55115.2,54341.7,49615.6,61545.4,54400.3,55594.3,43317.5
O08599,O08599,STXB1_MOUSE,Stxbp1,Syntaxin-binding protein 1,11777,12696.6,13049.9,12766,13715.2,9469.93,11458.2,10817.8
O08600,O08600,NUCG_MOUSE,Endog,"Endonuclease G, mitochondrial",237268,318773,319201,302392,311088,355119,321653,340047
O08601,O08601,MTP_MOUSE,Mttp,Microsomal triglyceride transfer protein large subunit,1.32E+06,1.31E+06,1.29E+06,1.25E+06,1.30E+06,1.30E+06,1.24E+06,1.32E+06
O08605,O08605,MKNK1_MOUSE,Mknk1,MAP kinase-interacting serine/threonine-protein kinase 1,,15152.9,14247.1,16604.9,19310.4,12207.4,16188.1,16164.3
O08609,O08609,MLX_MOUSE,Mlx,Max-like protein X,22871.1,27133.1,25785.9,38198.9,20553.8,27249.4,28900.1,22585.6
O08638;Q6URW6;Q8VDD5,O08638;P13541;P13542;Q02566;Q5SX39;Q5SX40;Q61879;Q6URW6;Q8VDD5;Q91Z83;A2AQP0,MYH11_MOUSE;MYH14_MOUSE;MYH9_MOUSE,Myh11;Myh14;Myh9,Myosin-11,17621.1,25316.9,31064.2,26254,25724.5,28282.9,27198.5,32346
O08638;Q8VDD5,O08638;Q8VDD5,MYH11_MOUSE;MYH9_MOUSE,Myh11;Myh9,Myosin-11,20559.8,12269.2,21334.2,18248.9,24288.1,13475.1,22577.1,21802.7
O08663,O08663,MAP2_MOUSE,Metap2,Methionine aminopeptidase 2,50123.6,50988.4,46739.5,50884.4,56416.1,61618.5,52937.7,47313.4
O08677,O08677,KNG1_MOUSE,Kng1,Kininogen-1,1.83E+06,2.13E+06,1.97E+06,2.02E+06,2.07E+06,1.76E+06,1.93E+06,2.00E+06
O08688,O08688,CAN5_MOUSE,Capn5,Calpain-5,7801.08,9881.03,7469.58,10556.7,7011.99,5918.75,6634.53,9286.16
O08691,O08691,ARGI2_MOUSE,Arg2,"Arginase-2, mitochondrial",86680,80812.8,71328.4,81449.1,74802.4,38500.9,60506.4,82787.9
O08692,O08692,NGP_MOUSE,Ngp,Neutrophilic granule protein,63233.8,73830.7,74241.2,70393.3,81773,63821.6,68301.4,73031.8
O08705,O08705,NTCP_MOUSE,Slc10a1,Hepatic sodium/bile acid cotransporter,109089,72896.9,97907,108670,82232.8,89862.8,97871.6,74449.6
O08709,O08709,PRDX6_MOUSE,Prdx6,Peroxiredoxin-6,5.20E+06,7.13E+06,6.14E+06,6.49E+06,6.60E+06,6.63E+06,6.41E+06,6.84E+06
O08715,O08715,AKAP1_MOUSE,Akap1,"A-kinase anchor protein 1, mitochondrial",147701,165464,169264,161836,183794,161906,178135,182922
O08734,O08734,BAK_MOUSE,Bak1,Bcl-2 homologous antagonist/killer,53466.8,50703.5,52390.6,55098.8,46920.2,49418.3,54726.6,47149.5
O08738,O08738,CASP6_MOUSE,Casp6,Caspase-6,123237,141674,129784,117249,143027,151731,156006,144168
O08739,O08739;Q3V1D3,AMPD3_MOUSE,Ampd3,AMP deaminase 3,11562.2,7867.2,9011.19,6674.5,14167.1,6693.81,7710.26,11213.3
O08739;Q9DBT5,O08739;Q9DBT5,AMPD2_MOUSE;AMPD3_MOUSE,Ampd2;Ampd3,AMP deaminase 3,97977.7,87806.2,88622.1,90969.2,74066.7,64958.9,95051.6,69739
O08749,O08749,DLDH_MOUSE,Dld,"Dihydrolipoyl dehydrogenase, mitochondrial",2.45E+06,3.52E+06,3.36E+06,2.37E+06,3.48E+06,2.96E+06,2.43E+06,3.27E+06
O08750,O08750,NFIL3_MOUSE,Nfil3,Nuclear factor interleukin-3-regulated protein,,,,2657.24,,,,4565.19
O08756,O08756,HCD2_MOUSE,Hsd17b10,3-hydroxyacyl-CoA dehydrogenase type-2,180636,379903,411287,411869,401434,398312,446512,366779
O08759,O08759,UBE3A_MOUSE,Ube3a,Ubiquitin-protein ligase E3A,117075,114337,111105,112287,109498,100991,107930,111989
O08760,O08760,OGG1_MOUSE,Ogg1,N-glycosylase/DNA lyase,,6716.54,7197.1,10326.7,,4666.51,7263.23,
O08784,O08784,TCOF_MOUSE,Tcof1,Treacle protein,89365.8,83963.3,80155,83773.4,97140.1,80452.1,92559.8,83431.3
O08785,O08785;P97460,CLOCK_MOUSE,Clock,Circadian locomoter output cycles protein kaput,10871.3,,,5098.04,,,4270.05,
O08788,O08788,DCTN1_MOUSE,Dctn1,Dynactin subunit 1,32432.4,38610.5,36500.3,39974,35417.7,35813,36733.8,34032.2
O08795,O08795,GLU2B_MOUSE,Prkcsh,Glucosidase 2 subunit beta,1.15E+06,1.33E+06,1.37E+06,1.14E+06,1.32E+06,1.44E+06,1.38E+06,1.47E+06
O08807,O08807,PRDX4_MOUSE,Prdx4,Peroxiredoxin-4,1.48E+07,2.43E+07,2.21E+07,2.38E+07,2.31E+07,2.58E+07,2.59E+07,3.05E+07
O08807;P35700,O08807;P35700,PRDX1_MOUSE;PRDX4_MOUSE,Prdx1;Prdx4,Peroxiredoxin-4,1.47E+07,1.39E+07,9.99E+06,1.03E+07,7.44E+06,1.13E+07,8.58E+06,1.02E+07
O08808,O08808,DIAP1_MOUSE,Diaph1,Protein diaphanous homolog 1,111183,133660,124338,132207,112309,105679,114059,120866
O08810,O08810,U5S1_MOUSE,Eftud2,116 kDa U5 small nuclear ribonucleoprotein component,156785,177094,198626,173859,176841,155168,178393,187247
O08810;P58252,O08810;P58252,EF2_MOUSE;U5S1_MOUSE,Eef2;Eftud2,116 kDa U5 small nuclear ribonucleoprotein component,8.92E+06,8.13E+06,7.60E+06,8.13E+06,7.64E+06,5.71E+06,6.43E+06,7.32E+06
O08811,O08811,ERCC2_MOUSE,Ercc2,General transcription and DNA repair factor IIH helicase subunit XPD,132035,198211,209734,172959,146543,121174,136449,226697
O08856,O08856,ELL_MOUSE,Ell,RNA polymerase II elongation factor ELL,,,11044.7,6824.1,7487.36,7501.54,7561.48,11506.9
O08911,O08911,MK12_MOUSE,Mapk12,Mitogen-activated protein kinase 12,32130,33826.6,34561.7,10533.9,38969.8,17666.2,16018.4,14713.9
O08911;P47811;Q91Y86;Q9WTU6,O08911;P47811;Q61831;Q91Y86;Q9WTU6;Q9WUI1;Q9Z1B7,MK08_MOUSE;MK09_MOUSE;MK12_MOUSE;MK14_MOUSE,Mapk12;Mapk14;Mapk8;Mapk9,Mitogen-activated protein kinase 12,,,,,,,38721.8,
O08912,O08912,GALT1_MOUSE,Galnt1,Polypeptide N-acetylgalactosaminyltransferase 1,13358.1,14228.4,12297.4,15293.3,9261.09,9598.52,11621.2,12655.7
O08914,O08914,FAAH1_MOUSE,Faah,Fatty-acid amide hydrolase 1,695471,749429,770696,833924,743174,755378,767303,723102
O08915,O08915,AIP_MOUSE,Aip,AH receptor-interacting protein,84873.2,126969,120041,97822.9,131017,138453,133650,121144
O08917,O08917,FLOT1_MOUSE,Flot1,Flotillin-1,137127,167288,177571,170064,136266,157824,154776,194184
O08919;Q9QZS3,O08919;Q9QZS3,NUMBL_MOUSE;NUMB_MOUSE,Numb;Numbl,Numb-like protein,31110.2,43350.2,42961.2,31277,44084.8,46555.2,45855.7,47561.8
O08966,O08966,S22A1_MOUSE,Slc22a1,Solute carrier family 22 member 1,518602,496964,571214,505019,455887,454366,436577,543724
O08983,O08983,HPS1_MOUSE,Hps1,BLOC-3 complex member HPS1,16984.7,17105,11813.6,21195.5,20173.6,11015.6,21016,16982.2
O08992,O08992,SDCB1_MOUSE,Sdcbp,Syntenin-1,13903.2,18834.9,17777.4,16828.8,26234.9,18439.8,18552.9,17111.1
O08997,O08997,ATOX1_MOUSE,Atox1,Copper transport protein ATOX1,57284,101469,108756,95110.5,125515,108822,125002,117058
O09000,O09000,NCOA3_MOUSE,Ncoa3,Nuclear receptor coactivator 3,13380.1,14192.3,11147.7,12476.6,8361.6,7501.53,5405.84,8418.22
O09012,O09012,PEX5_MOUSE,Pex5,Peroxisomal targeting signal 1 receptor,40269.1,46956.2,40908,39736.3,38669.5,45691.9,38829.8,44159.1
O09043,O09043,NAPSA_MOUSE,Napsa,Napsin-A,76096.1,63194.6,83232.4,72546.9,72251.4,80783.6,80148.7,86067.1
O09044,O09044,SNP23_MOUSE,Snap23,Synaptosomal-associated protein 23,17328.3,46719.8,47296.3,26774,43416,49801.4,43827.2,53279.2
O09044;P60879,O09044;P60879,SNP23_MOUSE;SNP25_MOUSE,Snap23;Snap25,Synaptosomal-associated protein 23,51758.4,43396.1,41073.9,61209.1,43712.9,29347.7,48663.8,46094.2
O09046,O09046,OXLA_MOUSE,Il4i1,L-amino-acid oxidase,12266.5,10836.7,14297.9,11395,17893.1,16596.9,21949.5,10562
O09061,O09061,PSB1_MOUSE,Psmb1,Proteasome subunit beta type-1,946546,1.34E+06,1.39E+06,1.26E+06,1.47E+06,1.43E+06,1.52E+06,1.30E+06
O09106,O09106,HDAC1_MOUSE,Hdac1,Histone deacetylase 1,20698.3,22199,22003.5,26419.9,23202,26911.3,22531.1,21840.7
O09106;O88895;P70288,O09106;O88895;P70288,HDAC1_MOUSE;HDAC2_MOUSE;HDAC3_MOUSE,Hdac1;Hdac2;Hdac3,Histone deacetylase 1,3413.11,10033.6,19895.4,11880.8,18922.6,26195.8,16102.2,12457.4
O09106;P70288,O09106;P70288,HDAC1_MOUSE;HDAC2_MOUSE,Hdac1;Hdac2,Histone deacetylase 1,31124.8,10553.2,13152.1,9929.23,19984.4,9288.77,9559.89,14487.8
O09110,O09110,MP2K3_MOUSE,Map2k3,Dual specificity mitogen-activated protein kinase kinase 3,27473.7,26641.2,30607,19529.1,32875.5,24594.3,20336,18938.1
O09110;P70236,O09110;P70236,MP2K3_MOUSE;MP2K6_MOUSE,Map2k3;Map2k6,Dual specificity mitogen-activated protein kinase kinase 3,87676.6,86474.7,73175.8,38339,74640.4,37160.2,37380.4,45154.7
